dt,AverageTemperature,AverageTemperatureUncertainty,Country
1852-03-01,-1.233,1.381,China
1852-04-01,6.6640000000000015,1.359,China
1852-05-01,13.003,1.15,China
1852-06-01,17.581,1.086,China
1852-07-01,20.164,1.043,China
1852-08-01,17.961,1.021,China
1852-09-01,13.287,0.95,China
1852-10-01,7.2349999999999985,1.029,China
1852-11-01,-2.132,0.955,China
1852-12-01,-6.448,1.711,China
1853-01-01,-10.412,1.115,China
1853-02-01,-7.018000000000002,1.561,China
1853-03-01,0.5700000000000001,0.995,China
1853-04-01,6.508000000000001,0.989,China
1853-05-01,12.977,1.024,China
1853-06-01,17.816,0.8859999999999999,China
1853-07-01,20.668000000000003,0.97,China
1853-08-01,18.727,0.909,China
1853-09-01,14.270999999999999,0.991,China
1853-10-01,6.108,1.352,China
1853-11-01,-1.21,1.072,China
1853-12-01,-7.034,0.967,China
1854-01-01,-8.36,0.991,China
1854-02-01,-7.285,1.649,China
1854-03-01,1.277,0.927,China
1854-04-01,7.468,1.142,China
1854-05-01,13.737,1.097,China
1854-06-01,17.213,1.094,China
1854-07-01,20.464,1.031,China
1854-08-01,18.893,1.124,China
1854-09-01,13.767,1.125,China
1854-10-01,7.606,1.658,China
1854-11-01,-0.5529999999999999,1.1909999999999998,China
1854-12-01,-6.55,1.222,China
1855-01-01,-8.636999999999999,1.246,China
1855-02-01,-4.503,1.582,China
1855-03-01,1.137,1.3030000000000002,China
1855-04-01,9.113,1.101,China
1855-05-01,13.485,1.094,China
1855-06-01,17.564,1.133,China
1855-07-01,19.643,1.054,China
1855-08-01,18.485,1.046,China
1855-09-01,13.575,1.035,China
1855-10-01,6.504,1.23,China
1855-11-01,-1.259,1.215,China
1855-12-01,-6.92,1.871,China
1856-01-01,-8.836,1.293,China
1856-02-01,-7.404,1.374,China
1856-03-01,0.8550000000000001,1.232,China
1856-04-01,7.6110000000000015,1.193,China
1856-05-01,12.691,1.372,China
1856-06-01,17.713,1.473,China
1856-07-01,19.882,1.227,China
1856-08-01,18.102,1.325,China
1856-09-01,13.106,1.177,China
1856-10-01,6.4270000000000005,1.117,China
1856-11-01,-0.809,1.267,China
1856-12-01,-6.191,1.223,China
1857-01-01,-9.388,1.452,China
1857-02-01,-5.527,1.653,China
1857-03-01,0.6500000000000001,1.344,China
1857-04-01,7.0070000000000014,1.3259999999999998,China
1857-05-01,11.994000000000002,1.112,China
1857-06-01,16.758,1.0759999999999998,China
1857-07-01,19.457,1.079,China
1857-08-01,17.924,1.197,China
1857-09-01,13.398,1.063,China
1857-10-01,6.6370000000000005,1.18,China
1857-11-01,-1.271,1.327,China
1857-12-01,-6.122999999999998,1.307,China
1858-01-01,-7.7799999999999985,1.7919999999999998,China
1858-02-01,-5.114000000000001,1.2009999999999998,China
1858-03-01,0.7110000000000001,1.317,China
1858-04-01,8.311,1.415,China
1858-05-01,12.869000000000002,1.17,China
1858-06-01,17.118,1.189,China
1858-07-01,19.355,1.289,China
1858-08-01,18.221,1.113,China
1858-09-01,13.661,1.146,China
1858-10-01,7.098999999999998,1.163,China
1858-11-01,0.121,1.117,China
1858-12-01,-7.603,1.159,China
1859-01-01,-8.218,1.18,China
1859-02-01,-5.7589999999999995,1.321,China
1859-03-01,1.1980000000000002,1.095,China
1859-04-01,8.828,1.126,China
1859-05-01,13.895999999999999,0.962,China
1859-06-01,17.472,0.963,China
1859-07-01,19.473,1.0,China
1859-08-01,18.432000000000002,0.94,China
1859-09-01,13.275,0.969,China
1859-10-01,7.019,1.106,China
1859-11-01,-0.371,1.5319999999999998,China
1859-12-01,-6.823,1.32,China
1860-01-01,-9.758,1.41,China
1860-02-01,-5.915,1.4240000000000002,China
1860-03-01,-1.899,2.066,China
1860-04-01,7.167999999999999,1.203,China
1860-05-01,12.469000000000001,1.157,China
1860-06-01,17.229,1.078,China
1860-07-01,19.237,1.516,China
1860-08-01,18.647000000000002,1.211,China
1860-09-01,14.458,1.069,China
1860-10-01,6.335,1.315,China
1860-11-01,-2.123,1.136,China
1860-12-01,-8.536,1.3,China
1861-01-01,-11.228,1.16,China
1861-02-01,-7.32,1.308,China
1861-03-01,0.381,1.138,China
1861-04-01,7.928999999999999,1.134,China
1861-05-01,12.404000000000002,1.52,China
1861-06-01,17.579,1.031,China
1861-07-01,19.694000000000003,1.245,China
1861-08-01,18.638,1.084,China
1861-09-01,13.232,1.1,China
1861-10-01,6.792000000000001,0.99,China
1861-11-01,-0.105,1.29,China
1861-12-01,-7.614,1.453,China
1862-01-01,-11.247,1.654,China
1862-02-01,-6.587000000000001,1.3969999999999998,China
1862-03-01,-0.24599999999999975,1.289,China
1862-04-01,6.586,1.755,China
1862-05-01,13.364,1.6369999999999998,China
1862-06-01,17.365,1.3259999999999998,China
1862-07-01,19.297,1.236,China
1862-08-01,18.367,1.398,China
1862-09-01,13.185,1.401,China
1862-10-01,6.696999999999999,1.511,China
1862-11-01,-2.424,1.523,China
1862-12-01,-8.98,1.868,China
1863-01-01,-7.265,1.781,China
1863-02-01,-3.661000000000001,1.712,China
1863-03-01,1.036,1.245,China
1863-04-01,7.564,1.454,China
1863-05-01,13.049000000000001,1.404,China
1863-06-01,17.566,1.446,China
1863-07-01,19.941,1.378,China
1863-08-01,18.234,1.183,China
1863-09-01,13.039,1.101,China
1863-10-01,6.169,1.23,China
1863-11-01,-1.3730000000000002,1.465,China
1863-12-01,-6.964,1.408,China
1864-01-01,-8.793999999999999,1.476,China
1864-02-01,-6.392,1.3259999999999998,China
1864-03-01,-0.12699999999999978,1.4680000000000002,China
1864-04-01,7.104,1.152,China
1864-05-01,12.652000000000001,1.163,China
1864-06-01,16.934,1.129,China
1864-07-01,19.699,1.052,China
1864-08-01,17.705,1.092,China
1864-09-01,13.1,1.196,China
1864-10-01,7.1179999999999986,1.209,China
1864-11-01,-0.643,1.4480000000000002,China
1864-12-01,-8.738,1.352,China
1865-01-01,-7.8020000000000005,1.17,China
1865-02-01,-6.5680000000000005,1.735,China
1865-03-01,-0.359,1.296,China
1865-04-01,7.56,1.85,China
1865-05-01,13.52,1.341,China
1865-06-01,17.707,1.236,China
1865-07-01,19.83,1.25,China
1865-08-01,18.59,1.204,China
1865-09-01,14.169,1.178,China
1865-10-01,7.145,1.095,China
1865-11-01,-1.253,1.5530000000000002,China
1865-12-01,-7.611000000000001,1.733,China
1866-01-01,-7.890999999999999,1.319,China
1866-02-01,-5.785,1.293,China
1866-03-01,-0.1649999999999998,1.345,China
1866-04-01,7.2989999999999995,1.118,China
1866-05-01,12.911,1.158,China
1866-06-01,17.014,1.031,China
1866-07-01,20.192999999999998,1.227,China
1866-08-01,18.815,1.192,China
1866-09-01,13.284,0.998,China
1866-10-01,6.8020000000000005,1.151,China
1866-11-01,-0.299,1.265,China
1866-12-01,-5.252999999999999,1.3090000000000002,China
1867-01-01,-8.443999999999999,1.254,China
1867-02-01,-5.8980000000000015,1.224,China
1867-03-01,1.2919999999999998,1.23,China
1867-04-01,8.445,1.476,China
1867-05-01,12.908,1.056,China
1867-06-01,17.372,1.103,China
1867-07-01,20.031,1.381,China
1867-08-01,18.281,1.304,China
1867-09-01,13.720999999999998,1.111,China
1867-10-01,7.351,1.127,China
1867-11-01,1.099,1.457,China
1867-12-01,-5.048,1.452,China
1868-01-01,-8.197999999999999,1.368,China
1868-02-01,-5.6800000000000015,1.415,China
1868-03-01,0.010000000000000007,1.252,China
1868-04-01,8.35,1.102,China
1868-05-01,13.109000000000002,1.078,China
1868-06-01,17.187,1.06,China
1868-07-01,20.124,0.965,China
1868-08-01,18.423,1.019,China
1868-09-01,13.857,1.071,China
1868-10-01,7.665999999999999,1.022,China
1868-11-01,-1.117,1.1,China
1868-12-01,-6.744999999999999,1.341,China
1869-01-01,-8.37,1.264,China
1869-02-01,-3.973,1.321,China
1869-03-01,0.35100000000000003,1.515,China
1869-04-01,7.372000000000001,1.132,China
1869-05-01,13.687000000000001,1.177,China
1869-06-01,17.291999999999998,1.039,China
1869-07-01,19.913,1.074,China
1869-08-01,18.552,1.129,China
1869-09-01,14.436,1.048,China
1869-10-01,7.542999999999998,1.162,China
1869-11-01,-0.901,1.263,China
1869-12-01,-8.312000000000001,1.189,China
1870-01-01,-9.641,1.063,China
1870-02-01,-6.546,1.24,China
1870-03-01,0.5840000000000002,1.204,China
1870-04-01,7.965000000000002,1.317,China
1870-05-01,13.918,0.999,China
1870-06-01,17.634999999999994,0.976,China
1870-07-01,20.095,0.875,China
1870-08-01,18.414,0.848,China
1870-09-01,14.401,1.09,China
1870-10-01,7.148,1.2819999999999998,China
1870-11-01,-1.579,1.306,China
1870-12-01,-8.486,0.916,China
1871-01-01,-9.293,1.172,China
1871-02-01,-5.987,1.4680000000000002,China
1871-03-01,1.072,1.285,China
1871-04-01,7.984,0.84,China
1871-05-01,13.136,1.144,China
1871-06-01,17.713,0.982,China
1871-07-01,20.027,0.882,China
1871-08-01,18.952,0.8759999999999999,China
1871-09-01,14.270999999999999,1.042,China
1871-10-01,7.6309999999999985,0.925,China
1871-11-01,-1.247,0.914,China
1871-12-01,-7.8,1.0759999999999998,China
1872-01-01,-10.036,2.014,China
1872-02-01,-6.835000000000001,1.196,China
1872-03-01,0.794,0.967,China
1872-04-01,7.372999999999999,1.168,China
1872-05-01,13.543,1.023,China
1872-06-01,17.517,1.079,China
1872-07-01,19.949,1.001,China
1872-08-01,18.516,1.067,China
1872-09-01,14.162,0.768,China
1872-10-01,7.071000000000001,0.768,China
1872-11-01,-0.615,1.034,China
1872-12-01,-6.002999999999999,1.7990000000000002,China
1873-01-01,-9.928,1.196,China
1873-02-01,-4.7669999999999995,1.41,China
1873-03-01,0.4280000000000001,0.928,China
1873-04-01,8.079,1.094,China
1873-05-01,13.334000000000001,0.8690000000000001,China
1873-06-01,17.625,0.949,China
1873-07-01,20.077,0.914,China
1873-08-01,18.263,0.821,China
1873-09-01,14.162,1.006,China
1873-10-01,7.340999999999998,0.895,China
1873-11-01,0.166,1.086,China
1873-12-01,-5.722,1.0,China
1874-01-01,-9.145,1.257,China
1874-02-01,-5.0790000000000015,1.035,China
1874-03-01,0.0970000000000002,1.336,China
1874-04-01,8.787,0.877,China
1874-05-01,13.295,1.232,China
1874-06-01,18.275,1.216,China
1874-07-01,19.711,1.232,China
1874-08-01,18.838,0.8390000000000001,China
1874-09-01,14.78,0.892,China
1874-10-01,7.473999999999998,1.288,China
1874-11-01,-0.5870000000000001,1.01,China
1874-12-01,-6.704,0.992,China
1875-01-01,-9.015,1.162,China
1875-02-01,-5.186000000000001,1.5219999999999998,China
1875-03-01,1.99,1.157,China
1875-04-01,7.669,0.6990000000000001,China
1875-05-01,13.585,0.735,China
1875-06-01,18.167,1.025,China
1875-07-01,19.962,0.862,China
1875-08-01,18.688,0.815,China
1875-09-01,13.831,0.6559999999999999,China
1875-10-01,6.766,0.733,China
1875-11-01,-1.415,1.088,China
1875-12-01,-6.981999999999998,0.895,China
1876-01-01,-9.259,1.17,China
1876-02-01,-5.356000000000001,0.938,China
1876-03-01,0.4500000000000001,1.5,China
1876-04-01,8.361,1.182,China
1876-05-01,13.31,1.216,China
1876-06-01,17.846,0.742,China
1876-07-01,19.923,0.7240000000000001,China
1876-08-01,18.849,0.677,China
1876-09-01,13.651,0.8140000000000001,China
1876-10-01,7.244,0.851,China
1876-11-01,-1.359,0.904,China
1876-12-01,-7.4910000000000005,1.461,China
1877-01-01,-9.153,1.078,China
1877-02-01,-6.997000000000001,1.141,China
1877-03-01,1.12,0.957,China
1877-04-01,7.468999999999999,0.85,China
1877-05-01,12.68,0.888,China
1877-06-01,17.904,1.235,China
1877-07-01,19.994,0.662,China
1877-08-01,18.854,0.941,China
1877-09-01,14.362,0.738,China
1877-10-01,6.6789999999999985,0.978,China
1877-11-01,-0.575,1.311,China
1877-12-01,-8.158,1.588,China
1878-01-01,-10.553,1.5019999999999998,China
1878-02-01,-5.836,1.126,China
1878-03-01,2.204,0.8270000000000001,China
1878-04-01,8.318,1.091,China
1878-05-01,12.759,1.057,China
1878-06-01,17.647000000000002,1.171,China
1878-07-01,20.269,0.888,China
1878-08-01,18.724,0.941,China
1878-09-01,14.572,0.8390000000000001,China
1878-10-01,7.13,1.082,China
1878-11-01,-0.52,0.913,China
1878-12-01,-7.7410000000000005,0.82,China
1879-01-01,-8.815,0.782,China
1879-02-01,-5.0470000000000015,0.945,China
1879-03-01,0.5930000000000001,0.738,China
1879-04-01,7.617000000000001,0.992,China
1879-05-01,13.431,0.91,China
1879-06-01,18.084,0.8320000000000001,China
1879-07-01,19.905,0.875,China
1879-08-01,18.66,0.701,China
1879-09-01,14.482,0.753,China
1879-10-01,7.345,1.018,China
1879-11-01,-0.08199999999999999,0.693,China
1879-12-01,-6.164,0.767,China
1880-01-01,-9.346,0.897,China
1880-02-01,-6.167000000000002,1.015,China
1880-03-01,1.964,0.672,China
1880-04-01,7.7829999999999995,0.703,China
1880-05-01,13.55,0.7959999999999999,China
1880-06-01,17.505,0.8009999999999999,China
1880-07-01,18.916,1.155,China
1880-08-01,18.745,0.943,China
1880-09-01,14.027999999999999,0.826,China
1880-10-01,7.294,0.962,China
1880-11-01,-0.29600000000000004,0.955,China
1880-12-01,-7.374,0.735,China
1881-01-01,-8.158999999999999,1.062,China
1881-02-01,-5.886,0.954,China
1881-03-01,-0.055999999999999835,0.925,China
1881-04-01,8.009,0.799,China
1881-05-01,13.217,0.79,China
1881-06-01,17.064,0.871,China
1881-07-01,20.261,0.737,China
1881-08-01,18.616,0.7020000000000001,China
1881-09-01,14.319,0.7140000000000001,China
1881-10-01,7.353999999999999,0.6970000000000001,China
1881-11-01,-0.622,0.902,China
1881-12-01,-7.882999999999999,1.092,China
1882-01-01,-7.175999999999998,1.119,China
1882-02-01,-5.8180000000000005,1.002,China
1882-03-01,1.0610000000000002,0.784,China
1882-04-01,8.388,0.669,China
1882-05-01,13.159,0.815,China
1882-06-01,17.641,0.735,China
1882-07-01,19.758,0.647,China
1882-08-01,18.358,0.764,China
1882-09-01,14.123,0.606,China
1882-10-01,7.051,0.711,China
1882-11-01,-1.48,0.938,China
1882-12-01,-8.286,1.018,China
1883-01-01,-9.172,0.654,China
1883-02-01,-7.149000000000001,0.971,China
1883-03-01,0.523,1.001,China
1883-04-01,7.1110000000000015,0.618,China
1883-05-01,12.677,0.812,China
1883-06-01,18.090999999999998,0.821,China
1883-07-01,19.658,0.846,China
1883-08-01,18.454,0.69,China
1883-09-01,13.165,0.7120000000000001,China
1883-10-01,7.540999999999999,0.627,China
1883-11-01,-1.904,0.79,China
1883-12-01,-6.672000000000001,0.813,China
1884-01-01,-7.870999999999999,0.732,China
1884-02-01,-6.472,0.858,China
1884-03-01,-0.35099999999999976,0.916,China
1884-04-01,7.057,0.735,China
1884-05-01,12.702,0.7659999999999999,China
1884-06-01,17.049,0.8029999999999999,China
1884-07-01,19.502,0.675,China
1884-08-01,17.632,0.674,China
1884-09-01,14.342,0.923,China
1884-10-01,6.329,0.851,China
1884-11-01,-2.227,0.901,China
1884-12-01,-8.033999999999999,1.08,China
1885-01-01,-9.413,0.784,China
1885-02-01,-8.138,1.164,China
1885-03-01,0.5329999999999999,1.007,China
1885-04-01,6.997000000000001,1.021,China
1885-05-01,12.887,1.0,China
1885-06-01,17.518,0.978,China
1885-07-01,19.147,0.8140000000000001,China
1885-08-01,18.688,0.885,China
1885-09-01,13.526,0.8420000000000001,China
1885-10-01,7.215,0.828,China
1885-11-01,-1.4380000000000002,0.981,China
1885-12-01,-5.948,1.096,China
1886-01-01,-8.854999999999997,0.961,China
1886-02-01,-7.8980000000000015,1.182,China
1886-03-01,0.7120000000000001,0.928,China
1886-04-01,7.722,0.7120000000000001,China
1886-05-01,13.197000000000001,0.73,China
1886-06-01,17.469,0.789,China
1886-07-01,19.539,0.6970000000000001,China
1886-08-01,18.506,0.682,China
1886-09-01,13.815,0.7440000000000001,China
1886-10-01,7.1389999999999985,0.763,China
1886-11-01,-1.423,0.83,China
1886-12-01,-6.5459999999999985,1.108,China
1887-01-01,-11.114999999999998,0.911,China
1887-02-01,-6.297999999999999,0.962,China
1887-03-01,0.3920000000000001,0.944,China
1887-04-01,8.191,0.901,China
1887-05-01,13.09,0.753,China
1887-06-01,16.409000000000002,0.6709999999999999,China
1887-07-01,20.295,0.831,China
1887-08-01,18.282,0.8270000000000001,China
1887-09-01,13.972,0.649,China
1887-10-01,7.5920000000000005,0.6970000000000001,China
1887-11-01,0.258,0.764,China
1887-12-01,-6.702000000000001,0.7120000000000001,China
1888-01-01,-8.571,1.146,China
1888-02-01,-7.348000000000001,0.831,China
1888-03-01,1.4409999999999998,0.7609999999999999,China
1888-04-01,7.247999999999999,0.899,China
1888-05-01,13.065,0.797,China
1888-06-01,17.044,0.894,China
1888-07-01,19.909,0.7709999999999999,China
1888-08-01,18.973,0.682,China
1888-09-01,13.779000000000002,0.6729999999999999,China
1888-10-01,7.002000000000001,0.853,China
1888-11-01,-0.504,0.769,China
1888-12-01,-6.001,0.865,China
1889-01-01,-10.173,1.103,China
1889-02-01,-5.747999999999999,1.065,China
1889-03-01,1.5530000000000002,0.7440000000000001,China
1889-04-01,7.875,0.757,China
1889-05-01,12.847000000000001,0.758,China
1889-06-01,18.160999999999998,0.583,China
1889-07-01,19.905,0.81,China
1889-08-01,18.73,0.594,China
1889-09-01,13.237,0.61,China
1889-10-01,6.9,0.725,China
1889-11-01,-0.772,0.768,China
1889-12-01,-6.774,1.268,China
1890-01-01,-8.421999999999999,0.8370000000000001,China
1890-02-01,-4.538,1.0759999999999998,China
1890-03-01,-0.7030000000000001,0.882,China
1890-04-01,7.512,0.8220000000000001,China
1890-05-01,13.853,0.942,China
1890-06-01,17.194000000000003,0.636,China
1890-07-01,19.637999999999998,0.6779999999999999,China
1890-08-01,18.225,0.696,China
1890-09-01,13.164,0.696,China
1890-10-01,7.183,0.644,China
1890-11-01,0.28300000000000003,0.936,China
1890-12-01,-5.817,0.912,China
1891-01-01,-8.309,0.711,China
1891-02-01,-6.0390000000000015,0.785,China
1891-03-01,0.27,0.764,China
1891-04-01,6.766,0.545,China
1891-05-01,13.437999999999999,0.76,China
1891-06-01,16.761,0.6459999999999999,China
1891-07-01,19.545,0.501,China
1891-08-01,18.861,0.596,China
1891-09-01,14.453,0.73,China
1891-10-01,7.665,0.6920000000000001,China
1891-11-01,-0.851,0.609,China
1891-12-01,-6.247999999999998,0.972,China
1892-01-01,-8.484,1.097,China
1892-02-01,-5.9620000000000015,0.784,China
1892-03-01,-1.473,1.033,China
1892-04-01,7.936,0.823,China
1892-05-01,13.065,0.772,China
1892-06-01,18.099,0.7959999999999999,China
1892-07-01,19.532,0.631,China
1892-08-01,18.255,0.785,China
1892-09-01,13.860999999999999,0.613,China
1892-10-01,7.019,0.612,China
1892-11-01,-1.824,0.769,China
1892-12-01,-7.294,1.104,China
1893-01-01,-10.827,1.21,China
